NULL, n_msn_, false, false, SHIFT
n_msn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, spsay, false, false, RIGHT ARC
spsay, n_fsa_, true, false, RIGHT ARC
n_fsa_, zs, true, false, REDUCE
spsay, zs, true, false, REDUCE
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsn_, false, false, SHIFT
n_fsn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, n_msa_, false, false, RIGHT ARC
n_msa_, zs, true, false, REDUCE
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsl_, false, false, SHIFT
n_fsl_, n_msn_, false, false, SHIFT
n_msn_, vm_is__30__, false, false, LEFT ARC
n_fsl_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, a_msn__, false, false, SHIFT
a_msn__, n_msn_, false, false, LEFT ARC
NULL, n_msn_, false, false, SHIFT
n_msn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, r__, false, false, SHIFT
r__, vm_is__30__, false, false, LEFT ARC
n_msn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, a_fsn__, false, false, SHIFT
a_fsn__, n_fsn_, false, false, LEFT ARC
cc_, n_fsn_, false, false, RIGHT ARC
n_fsn_, vm_is__30__, true, false, REDUCE
cc_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, spsay, false, false, RIGHT ARC
spsay, n_fsa_, true, false, RIGHT ARC
n_fsa_, zs, true, false, REDUCE
spsay, zs, true, false, REDUCE
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, vc_ip__30__, false, false, LEFT ARC
NULL, vc_ip__30__, false, false, SHIFT
vc_ip__30__, vm_pdmsn_s_, false, false, RIGHT ARC
vm_pdmsn_s_, spsay, true, false, REDUCE
vc_ip__30__, spsay, false, false, RIGHT ARC
spsay, n_fsa_, true, false, RIGHT ARC
n_fsa_, n_msl_, true, false, REDUCE
